prct_cause_infra,retard_moyen_trains_retard_sup15,retard_moyen_tous_trains_arrivee,prct_cause_externe,nb_train_prevu,prct_cause_gestion_trafic,nb_train_retard_arrivee,nb_train_retard_sup_15,nb_annulation,prct_cause_prise_en_charge_voyageurs,gare_arrivee,retard_moyen_arrivee,nb_train_retard_sup_30,nb_train_retard_sup_60,service,nb_train_depart_retard,commentaires_retard_arrivee,prct_cause_gestion_gare,date,gare_depart,duree_moyenne,retard_moyen_depart,retard_moyen_tous_trains_depart,prct_cause_materiel_roulant
13.79310345,10.83949045,10.83949045,65.51724138,197,6.896551724,30,30,40,3.448275862,LILLE,39.80722222,13,6,National,9,,0.0,2018-05,MARSEILLE ST CHARLES,302,19.20185185,1.437261146,10.34482759
11.53846154,9.715271318,9.715271318,48.07692308,307,13.46153846,54,37,92,5.769230769,LILLE,29.34290123,14,6,National,97,,5.769230769,2018-05,LYON PART DIEU,187,17.33024055,8.702790698,15.38461538
21.59090909,4.223870717,4.223870717,19.31818182,650,23.86363636,97,36,222,3.409090909,LILLE,17.23075601,14,5,National,115,,10.22727273,2018-04,PARIS NORD,67,10.28652174,2.804205607,21.59090909
25.58139535,12.06725888,12.06725888,18.60465116,325,25.58139535,50,50,128,9.302325581,LILLE,36.36733333,20,7,National,144,,6.976744186,2018-04,LYON PART DIEU,192,14.36377315,10.58637902,13.95348837
25.71428571,13.67531807,13.67531807,17.14285714,205,28.57142857,39,39,74,8.571428571,LILLE,37.15384615,14,6,National,32,,5.714285714,2018-04,MARSEILLE ST CHARLES,307,11.1078125,2.700381679,14.28571429
22.22222222,5.750245098,5.750245098,21.42857143,637,25.3968254,130,54,25,0.793650794,LILLE,24.38089744,26,9,National,135,"En ce qui concerne Réseau, le défaut de géométrie de la voie constaté à Pierrefitte a perturbé fortement le plan de transport à partir du 23 mars, un défaut suite à une zone boueuse découverte, avec des retards de cinq minutes au maximum  pour un volet de deux à vingt-cinq trains par jour, une situation qui perdure aujourd’hui. Pour les autres dérangements, il s’agit de l’incident de Beuvraignes le 19 (zone au rouge), l’arrachement caténaire de Goussainville le 10, et le dérangement électrique de Roissy le 15 avec un nid de pies dans la caténaire (26 trains pour 1096 minutes). 
Le train 758101 du 26 mars à Pierrefitte arrêté sous la section de séparation(zone non alimentée en courant) est l’évènement marquant du secteur « Autres EF » et du mois , il a concerné 48 trains Voyages pour 3854 minutes perdues, et  en totalité  213 trains pour 11187 minutes. Le sectionneur incriminé a été réparé depuis…",7.142857143,2018-03,PARIS NORD,67,16.28975309,3.58496732,23.01587302
13.51351351,10.44365942,10.44365942,18.91891892,189,18.91891892,38,38,5,2.702702703,LILLE,37.93991228,18,9,National,40,"En ce qui concerne Réseau, le défaut de géométrie de la voie constaté à Pierrefitte a perturbé fortement le plan de transport à partir du 23 mars, un défaut suite à une zone boueuse découverte, avec des retards de cinq minutes au maximum  pour un volet de deux à vingt-cinq trains par jour, une situation qui perdure aujourd’hui. Pour les autres dérangements, il s’agit de l’incident de Beuvraignes le 19 (zone au rouge), l’arrachement caténaire de Goussainville le 10, et le dérangement électrique de Roissy le 15 avec un nid de pies dans la caténaire (26 trains pour 1096 minutes). 
Le train 758101 du 26 mars à Pierrefitte arrêté sous la section de séparation(zone non alimentée en courant) est l’évènement marquant du secteur « Autres EF » et du mois , il a concerné 48 trains Voyages pour 3854 minutes perdues, et  en totalité  213 trains pour 11187 minutes. Le sectionneur incriminé a été réparé depuis…",8.108108108,2018-03,MARSEILLE ST CHARLES,309,7.52125,1.660144928,37.83783784
17.64705882,10.69348073,10.69348073,21.56862745,305,19.60784314,60,60,11,1.960784314,LILLE,38.15166667,30,13,National,222,,5.882352941,2018-03,LYON PART DIEU,193,10.63160661,8.125453515,33.33333333
26.0,12.93,12.93,44.0,167,20.0,50,50,2,2.0,LILLE,35.56533333,25,4,National,37,"Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).",0.0,2018-02,MARSEILLE ST CHARLES,309,9.29954955,2.058484848,8.0
18.66666667,13.42636248,13.42636248,45.33333333,265,18.66666667,85,84,2,1.333333333,LILLE,34.69823529,42,6,National,208,"Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).",1.333333333,2018-02,LYON PART DIEU,192,10.98573718,8.77103929,14.66666667
